post_id,post_title,post_forum,floor,username,user_id,content,likes,time,location,quote
639905336,世界杯神评：夏奇拉化身世界杯李谷一；拯救大兵孙兴慜,足球话题区,40,Donking亚一狙,116262084,没了解过世界杯。现在看看发现这个热度也太高了。评论那么多,0,2小时前,江苏,回复 @打不过我们吧: 杰克确实打不过韩国，什么梗？
639877569,今日世界杯推荐,足球话题区,1,坎宁安会好起来的,87150967,加油,6,1天前,江苏,
639877569,今日世界杯推荐,足球话题区,2,嗯又是黄昏,26995145,墨西哥让升稳吗兄弟,6,1天前,浙江,
639877569,今日世界杯推荐,足球话题区,3,虎扑JR0276797436,97811637,不信,4,17小时前,广东,
639877569,今日世界杯推荐,足球话题区,4,partyy是我家,96587738,111 加油 关注了,0,12小时前,广东,
639877569,今日世界杯推荐,足球话题区,5,partyy是我家,96587738,一样的思路,0,12小时前,广东,回复 @partyy是我家: 111 加油 关注了
639877569,今日世界杯推荐,足球话题区,6,新秀邓肯哦,33549024,预测一下加拿大跟美国的 兄弟,3,9小时前,广东,
639877569,今日世界杯推荐,足球话题区,7,BladeCCCc,26055055,加一,1,9小时前,四川,回复 @新秀邓肯哦: 预测一下加拿大跟美国的 兄弟
639877569,今日世界杯推荐,足球话题区,8,达伦皮特森历史第三分卫,112903448,加拿大 1：0:0:0 美国 1:0-1:1 稳稳的,0,7小时前,云南,回复 @新秀邓肯哦: 预测一下加拿大跟美国的 兄弟
639877569,今日世界杯推荐,足球话题区,9,湖丨人丨总丨冠丨军,21911749,明天的呢,0,7小时前,山东,
639877569,今日世界杯推荐,足球话题区,10,Alesso1,36200893,两场小球,0,7小时前,福建,回复 @新秀邓肯哦: 预测一下加拿大跟美国的 兄弟
639877569,今日世界杯推荐,足球话题区,11,虎扑JR0184939892,117435333,牛,0,7小时前,河南,
639877569,今日世界杯推荐,足球话题区,12,否尽泰来,52772678,牛比,0,5小时前,广东,
639877569,今日世界杯推荐,足球话题区,13,否尽泰来,52772678,兄弟，今天有推荐的吗,0,5小时前,广东,
639877569,今日世界杯推荐,足球话题区,14,虎扑JR1693360114,112415393,串2没意思啊。串8嘛。2块钱就好了,0,5小时前,,
639877569,今日世界杯推荐,足球话题区,15,喝奶只喝AD钙,36912770,今天有推荐的吗,0,5小时前,四川,
639877569,今日世界杯推荐,足球话题区,16,虎扑JR0884827265,118127918,我都是在APP上买,0,3小时前,江西,
639877569,今日世界杯推荐,足球话题区,17,风尘亖侠詹韦炮瓜,34865554,哥，能不能推荐一下平台,0,3小时前,陕西,回复 @虎扑JR0884827265: 我都是在APP上买
639877569,今日世界杯推荐,足球话题区,18,虎扑JR0884827265,118127918,可以,0,3小时前,江西,回复 @风尘亖侠詹韦炮瓜: 哥，能不能推荐一下平台
639877569,今日世界杯推荐,足球话题区,19,自由人1254,98693395,阅,0,3小时前,浙江,
639877569,今日世界杯推荐,足球话题区,20,虎扑JR1178964201,94905926,群已建,0,12分钟前,陕西,
639886074,世界杯开幕战,足球财富区,1,甪恚,32484,6,0,23小时前,,
639886074,世界杯开幕战,足球财富区,2,甪恚,32484,上,0,20小时前,,
639886074,世界杯开幕战,足球财富区,3,甪恚,32484,开始,0,18小时前,,
639886074,世界杯开幕战,足球财富区,4,甪恚,32484,哈哈,0,17小时前,,
639886074,世界杯开幕战,足球财富区,5,甪恚,32484,2-0,0,16小时前,,
639886074,世界杯开幕战,足球财富区,6,甪恚,32484,开始,0,12小时前,,
639886074,世界杯开幕战,足球财富区,7,甪恚,32484,准备开始,0,11小时前,,
639886074,世界杯开幕战,足球财富区,8,牛逼克拉皮斯6,118123399,我又找出了以前用的台子,0,10小时前,江苏,
639886074,世界杯开幕战,足球财富区,9,甪恚,32484,大了,0,10小时前,,
639886074,世界杯开幕战,足球财富区,10,甪恚,32484,双收了,0,9小时前,,
639886074,世界杯开幕战,足球财富区,11,乔保山钓鱼之路,96120062,厉害👍🏻,0,9小时前,山东,
639886074,世界杯开幕战,足球财富区,13,牛逼克拉皮斯6,118123399,哈哈。还好我用的软件补了跟上了 不然10点截止哦,0,9小时前,江苏,
639886074,世界杯开幕战,足球财富区,14,虎扑JR1602705562,109806757,厉害,0,7小时前,广东,
639886074,世界杯开幕战,足球财富区,15,勒布朗背打我,35244168,明天选啥,0,6小时前,广东,
